feature,std,iqr,std_rank,iqr_rank,pca_loading,pca_rank,total_rank,fold
RSI_14_lag_5,1.0614079385750517,1.7466045151871805,5.0,1.0,0.16901587178575503,22.0,9.333333333333334,val_scaled_fold_333.csv
RSI_7_lag_3,1.0775833736218514,1.5450609443774146,1.0,5.0,0.16229686659437836,24.0,10.0,val_scaled_fold_333.csv
RSI_14,0.9997897122388641,1.5755440110871428,8.0,4.0,0.17111334154030844,20.0,10.666666666666666,val_scaled_fold_333.csv
RSI_14_lag_5,1.208592260593069,1.3966683369698232,2.0,1.0,0.08121229738815004,29.0,10.666666666666666,val_scaled_fold_469.csv
OBV_lag_1,0.3606551361647291,0.7289649632935076,18.0,13.0,0.2079221706682687,4.0,11.666666666666666,val_scaled_fold_469.csv
RSI_14_lag_3,1.128745978611662,1.1652969406838996,3.0,4.0,0.0340012881541359,36.0,14.333333333333334,val_scaled_fold_469.csv
RSI_7_lag_5,1.0281679548012956,1.3907183788798338,4.0,2.0,0.02357369207727602,39.0,15.0,val_scaled_fold_469.csv
OBV,0.3671355814247386,0.7217746145896053,17.0,14.0,0.2029674990671346,14.0,15.0,val_scaled_fold_469.csv
BB_Mid_10,1.0,1.4960967726959067,11.0,18.0,0.18257273840721866,1.0,10.0,train_scaled_fold_500.csv
Close_lag_5,1.0,1.4757561755739526,11.0,24.0,0.18251167671915822,2.0,12.333333333333334,train_scaled_fold_500.csv
SMA_5,1.0,1.4870063645949698,11.0,21.0,0.1815697970958031,7.0,13.0,train_scaled_fold_500.csv
Close_lag_1,1.0,1.4870830254513854,11.0,20.0,0.18079130983935052,12.0,14.333333333333334,train_scaled_fold_500.csv
OBV_lag_5,1.0,1.6170405297019363,11.0,12.0,0.179580284847054,21.0,14.666666666666666,train_scaled_fold_500.csv
BB_Upper_10_1.5Std,1.1104892158972777,2.2055460023879783,7.0,1.0,0.17214362879508543,17.0,8.333333333333334,val_scaled_fold_680.csv
Low,1.0981215428032238,1.4933328379086328,8.0,9.0,0.19310898636565102,9.0,8.666666666666666,val_scaled_fold_680.csv
BB_Upper_10_2Std,1.179259526700944,2.20182042062628,6.0,2.0,0.17008692534843142,20.0,9.333333333333334,val_scaled_fold_680.csv
Adj Close,1.0391829928133711,1.356266671436721,11.0,15.0,0.19880003631898804,4.0,10.0,val_scaled_fold_680.csv
High,1.0456817994755354,1.416058365543517,9.5,12.5,0.1892771657874206,13.0,11.666666666666666,val_scaled_fold_680.csv
Adj Close,1.0,1.576495874172461,14.0,6.0,0.17774839918846275,6.0,8.666666666666666,train_scaled_fold_266.csv
