fold_id,retrain_interval,source,window,units,learning_rate,epochs,threshold,val_sharpe_front,val_mdd_front,test_sharpe,test_mdd,test_ann_return,test_ann_vol,test_turnover,test_n_points,,,,,,,,,,,,,,,
553,20,GA_knee,19,39,0.00100011,20,0.603059665,13.3105096,0.00426102,0.544602809,0.384918892,0.119185685,0.218848825,136,1519,,,,,,,,,,,,,,,
553,20,GA+BO_knee,19,39,0.00100011,20,0.603059665,13.3105096,0.00426102,0.895595592,0.321302507,0.177128136,0.197776918,93,1519,,,,,,,,,,,,,,,
553,42,GA_knee,20,48,0.000502056,30,0.498134755,13.10844146,0.0007,0.883333724,0.306452509,0.169277777,0.191635135,73,1519,,,,,,,,,,,,,,,
553,42,GA+BO_knee,20,48,0.000502056,30,0.498134755,13.10844146,0.0007,1.38581688,0.163180031,0.167228247,0.120671244,48,1519,,,,,,,,,,,,,,,
564,10,GA_knee,20,36,0.000517308,30,0.7,4.327887112,0.027561241,0.985953885,0.192472721,0.155381969,0.157595575,146,1519,,,,,,,,,,,,,,,
564,10,GA+BO_knee,20,36,0.000517308,30,0.7,4.327887112,0.027561241,0.64816943,0.237958629,0.116358283,0.179518314,156,1519,,,,,,,,,,,,,,,
564,20,GA_knee,20,36,0.00050373,27,0.7,5.39732308,0.010866289,0.582855611,0.35213392,0.095730819,0.164244484,86,1519,,,,,,,,,,,,,,,
564,20,GA+BO_knee,20,36,0.00050373,27,0.7,5.39732308,0.010866289,0.920598406,0.224068378,0.149291483,0.16216787,67,1519,,,,,,,,,,,,,,,
564,42,GA_knee,20,36,0.001002426,20,0.703670433,5.596431718,0.010866289,1.097776718,0.183693181,0.157898133,0.143834471,58,1519,,,,,,,,,,,,,,,
564,42,GA+BO_knee,20,36,0.001002426,20,0.703670433,5.596431718,0.010866289,0.494076144,0.318265886,0.079884122,0.161683828,90,1519,,,,,,,,,,,,,,,
599,10,GA_knee,20,33,0.001005184,20,0.698568862,3.654823436,0.026768666,1.081206672,0.224069559,0.15687829,0.145095562,134,1519,,,,,,,,,,,,,,,
599,10,GA+BO_knee,20,33,0.001005184,20,0.698568862,3.654823436,0.026768666,0.744356521,0.13209751,0.129490073,0.173962435,104,1519,,,,,,,,,,,,,,,
599,20,GA_knee,18,36,0.0005,30,0.700616199,5.185496349,0.026768666,0.510839636,0.129808553,0.039685909,0.077687606,26,1519,,,,,,,,,,,,,,,
599,20,GA+BO_knee,10,71,0.000484,16,0.944,5.226412521,0.0007,1.107298508,0.218453943,0.168241441,0.151938651,120,1519,,,,,,,,,,,,,,,
599,42,GA_knee,20,36,0.0005,30,0.504999709,3.990401614,0.023624622,-0.004906327,0.245422563,-0.000515499,0.10506822,28,1519,,,,,,,,,,,,,,,
599,42,GA+BO_knee,20,36,0.0005,30,0.504999709,3.990401614,0.023624622,0.445671814,0.33488905,0.064893021,0.145607191,44,1519,,,,,,,,,,,,,,,
652,10,GA_knee,20,36,0.001,20,0.7,4.869354779,0.016890543,0.091161465,0.312761379,0.013636651,0.14958789,112,1519,,,,,,,,,,,,,,,
652,10,GA+BO_knee,20,36,0.001,20,0.7,4.869354779,0.016890543,0.558976153,0.23397165,0.083659012,0.149664724,128,1519,,,,,,,,,,,,,,,
652,20,GA_knee,20,36,0.001,21,0.602357796,5.961430355,0.009081909,1.173900648,0.192610248,0.186746635,0.159082147,79,1519159,10,GA+BO_knee,20,40,0.001,30,0.4990134507501109,7.859782210115052,0.008483051,-0.017905766,0.31951482456847186,-0.002522177,0.14085837184017846,98,1519
652,20,GA+BO_knee,20,36,0.001,21,0.6023577963537091,5.961430355,0.009081909,1.0039071144086358,0.14958084862452845,0.11510754518819766,0.11465955718025089,52,1519,,,,,,,,,,,,,,,
652,42,GA_knee,22,36,0.002811363,20,0.4995352333767715,5.536718369821428,0.018757231,0.22814657322550225,0.38922545730042496,0.045412805,0.19905100775234888,68,1519,,,,,,,,,,,,,,,
