fold_id,retrain_interval,front_type,p,q,threshold,sharpe,mdd,garch_mode,garch_ic,dist,dist_last,aic_norm,aic_t
634,20,GA+BO,5,5,0.3121684681234365,5.160889446786976,0.032316918086246996,auto,aic,t,t,2646.936525141475,2613.529650354434
634,20,GA+BO,5,5,0.4124311390706511,5.038403714248573,0.027417613792981663,auto,aic,t,t,2646.936525141475,2613.529650354434
634,20,GA+BO,5,5,0.2886228783686906,5.2390438807473325,0.03298153641773855,auto,aic,t,t,2646.936525141475,2613.529650354434
634,20,GA+BO,5,5,0.4297703118064984,5.005783738962189,0.026802106918739906,auto,aic,t,t,2646.936525141475,2613.529650354434
634,20,GA+BO,5,5,0.30627756307662224,5.173026235249494,0.03270449598247006,auto,aic,t,t,2646.936525141475,2613.529650354434
634,42,GA,6,2,0.5999999999733427,2.2924369207939312,0.008025111250181436,auto,aic,t,t,2459.365020012703,2428.0613748942596
634,42,GA,6,2,0.5999999999887264,2.292436920793931,0.008025111249975906,auto,aic,t,t,2459.365020012703,2428.0613748942596
634,42,GA+BO,6,2,0.5999999999733427,2.2924369207939312,0.008025111250181436,auto,aic,t,t,2459.365020012703,2428.0613748942596
634,42,GA+BO,6,2,0.5999999999887264,2.292436920793931,0.008025111249975906,auto,aic,t,t,2459.365020012703,2428.0613748942596
444,10,GA,2,1,0.5999998345944043,2.7194998908651233,0.0025564909951788293,auto,aic,t,t,2266.222236584336,2175.4881873197546
444,10,GA,1,1,0.5999999475743757,2.614802820643862,0.002535959329716057,auto,aic,t,t,2266.117486687296,2175.3787726299042
444,10,GA,2,1,0.5999998345944043,2.7194998908651233,0.0025564909951788293,auto,aic,t,t,2266.222236584336,2175.4881873197546
444,10,GA,1,2,0.5999999658719116,2.252851749057709,0.002520979126648262,auto,aic,t,t,2266.0908375819395,2176.0199325911876
444,10,GA,1,2,0.5999999658719116,2.252851749057709,0.002520979126648262,auto,aic,t,t,2266.0908375819395,2176.0199325911876
444,10,GA,1,1,0.5999999475743757,2.614802820643862,0.002535959329716057,auto,aic,t,t,2266.117486687296,2175.3787726299042
444,10,GA+BO,2,1,0.5999998345944043,2.7194998908651233,0.0025564909951788293,auto,aic,t,t,2266.222236584336,2175.4881873197546
444,10,GA+BO,1,1,0.5999999475743757,2.614802820643862,0.002535959329716057,auto,aic,t,t,2266.117486687296,2175.3787726299042
444,10,GA+BO,2,1,0.5999998345944043,2.7194998908651233,0.0025564909951788293,auto,aic,t,t,2266.222236584336,2175.4881873197546
444,10,GA+BO,1,2,0.5999999658719116,2.252851749057709,0.002520979126648262,auto,aic,t,t,2266.0908375819395,2176.0199325911876
444,10,GA+BO,1,2,0.5999999658719116,2.252851749057709,0.002520979126648262,auto,aic,t,t,2266.0908375819395,2176.0199325911876
444,10,GA+BO,1,1,0.5999999475743757,2.614802820643862,0.002535959329716057,auto,aic,t,t,2266.117486687296,2175.3787726299042
444,10,GA+BO,3,1,0.01378361066949068,3.16953022845423,0.036931839771303654,auto,aic,t,t,2265.917636209296,2175.281363373462
444,10,GA+BO,1,1,0.07586750853428507,2.815052873051308,0.016572753945070528,auto,aic,t,t,2266.117486687296,2175.3787726299042
444,10,GA+BO,1,1,0.020375161818326576,3.048540994138428,0.03693183976879152,auto,aic,t,t,2266.117486687296,2175.3787726299042
444,10,GA+BO,2,1,0.06566221700908162,3.0226414021784147,0.01800300373082911,auto,aic,t,t,2266.222236584336,2175.4881873197546
444,20,GA,3,1,0.5999974321057426,2.09724417023445,0.0029254217849050963,auto,aic,t,t,2268.912066828911,2175.634028883428
444,20,GA,7,5,0.019149603329968252,3.5777657265940817,0.0263296171953602,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.019149603329968252,3.5777657265940817,0.0263296171953602,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.11784848556711643,2.376635425698195,0.015593481015926511,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.010000418618820677,3.53450254702256,0.024964298105759786,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.03317771600117603,3.236839705351685,0.02483856671460138,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,6,2,0.5999985001319773,2.3743751129686927,0.004342514622182131,auto,aic,t,t,2264.517253572041,2176.1637098212454
444,20,GA,7,5,0.042415927500024084,3.0486119860995666,0.02290720505824307,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.014954025384207467,3.5442382632154614,0.025910580902239286,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.04941066188768012,2.865200368591734,0.021874202939029128,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.04432451514384517,2.9970917294157546,0.0225929904507726,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.06732097197664244,2.5853144206040004,0.020221578908365546,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.06877506581806674,2.5663401327890223,0.020132585689202245,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.0407953315117641,3.0931110777892656,0.023197092186098063,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.06010041888685884,2.68472126783807,0.020760096831756066,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.07954738732507557,2.4956058355866926,0.018751849085078737,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.03590663674836902,3.2045310774430096,0.024189001444523225,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.056598095217173655,2.7359194186635025,0.02107875527138881,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.04839293390192197,2.890919482953835,0.022005937334753412,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.04664635477117251,2.9358573091048163,0.022245413680403222,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,6,2,0.5999985001319773,2.3743751129686927,0.004342514622182131,auto,aic,t,t,2264.517253572041,2176.1637098212454
444,20,GA,7,5,0.052603949670916805,2.7964081883508425,0.021493957770836895,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.07491274462370129,2.5153870363019375,0.019314896200418055,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.10047275828939636,2.3935596495155442,0.016783289420460933,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.04569328612893089,2.9607922159654856,0.02238381240702969,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.06202764944673619,2.6573566793959085,0.020600098950088463,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.09390571737147663,2.4241298534180045,0.017348092496675238,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.034475044463383515,3.222075670556205,0.024516927334944014,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.037842092964588875,3.172930276049445,0.02378514192226099,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.07491274462370129,2.5153870363019375,0.019314896200418055,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.052603949670916805,2.7964081883508425,0.021493957770836895,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA,7,5,0.03963711437935805,3.125288526143609,0.023418797700954994,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,3,1,0.5999974321057426,2.09724417023445,0.0029254217849050963,auto,aic,t,t,2268.912066828911,2175.634028883428
444,20,GA+BO,7,5,0.019149603329968252,3.5777657265940817,0.0263296171953602,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.019149603329968252,3.5777657265940817,0.0263296171953602,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.11784848556711643,2.376635425698195,0.015593481015926511,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.010000418618820677,3.53450254702256,0.024964298105759786,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.03317771600117603,3.236839705351685,0.02483856671460138,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,6,2,0.5999985001319773,2.3743751129686927,0.004342514622182131,auto,aic,t,t,2264.517253572041,2176.1637098212454
444,20,GA+BO,7,5,0.042415927500024084,3.0486119860995666,0.02290720505824307,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.014954025384207467,3.5442382632154614,0.025910580902239286,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.04941066188768012,2.865200368591734,0.021874202939029128,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.04432451514384517,2.9970917294157546,0.0225929904507726,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.06732097197664244,2.5853144206040004,0.020221578908365546,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.06877506581806674,2.5663401327890223,0.020132585689202245,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.0407953315117641,3.0931110777892656,0.023197092186098063,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.06010041888685884,2.68472126783807,0.020760096831756066,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.07954738732507557,2.4956058355866926,0.018751849085078737,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.03590663674836902,3.2045310774430096,0.024189001444523225,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.056598095217173655,2.7359194186635025,0.02107875527138881,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.04839293390192197,2.890919482953835,0.022005937334753412,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.04664635477117251,2.9358573091048163,0.022245413680403222,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,6,2,0.5999985001319773,2.3743751129686927,0.004342514622182131,auto,aic,t,t,2264.517253572041,2176.1637098212454
444,20,GA+BO,7,5,0.052603949670916805,2.7964081883508425,0.021493957770836895,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.07491274462370129,2.5153870363019375,0.019314896200418055,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.10047275828939636,2.3935596495155442,0.016783289420460933,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.04569328612893089,2.9607922159654856,0.02238381240702969,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.06202764944673619,2.6573566793959085,0.020600098950088463,auto,aic,t,t,2263.68420665482,2172.870110032835
444,20,GA+BO,7,5,0.09390571737147663,2.4241298534180045,0.017348092496675238,auto,aic,t,t,2263.68420665482,2172.870110032835
