fold_id,retrain_interval,stage,gen,hv,ref0,ref1,n_front
343,10,GA,1,2.166959770463054,2.198108060316242,0.2600509433899479,1
343,10,GA,2,2.166959770463054,2.198108060316242,0.2600509433899479,3
343,10,GA,3,2.1744871560327854,2.198108060316242,0.2600509433899479,1
343,10,GA,4,2.1757156113350096,2.198108060316242,0.2600509433899479,1
343,10,GA,5,2.1757156113350096,2.198108060316242,0.2600509433899479,1
343,10,GA,6,2.175877673706538,2.198108060316242,0.2600509433899479,1
343,10,GA,7,2.177455618372212,2.198108060316242,0.2600509433899479,1
343,10,GA,8,2.1824889265526077,2.198108060316242,0.2600509433899479,1
343,10,GA,9,2.1833595084037696,2.198108060316242,0.2600509433899479,1
343,10,GA,10,2.1834146253655384,2.198108060316242,0.2600509433899479,1
