fold_id,retrain_interval,front_type,window,units,lr,epochs,rel_thresh,sharpe,mdd,turnover,penalty
553,42,GA+BO,20,48,0.0005020561218140989,30,0.49813475501186605,13.108441464312541,0.000699999999999938,3.0,0.0
564,10,GA,20,36,0.0005173080938283644,30,0.7,4.327887111745683,0.02756124078550676,9.0,0.0
564,10,GA,20,39,0.0010034874707430745,30,0.7,4.185857230224536,0.013583293251779423,15.0,0.0
564,10,GA+BO,20,36,0.0005173080938283644,30,0.7,4.327887111745683,0.02756124078550676,9.0,0.0
564,10,GA+BO,20,39,0.0010034874707430745,30,0.7,4.185857230224536,0.013583293251779423,15.0,0.0
564,20,GA,20,36,0.000503730480279947,27,0.7,5.397323080274527,0.010866289187132819,11.0,0.0
564,20,GA+BO,20,36,0.000503730480279947,27,0.7,5.397323080274527,0.010866289187132819,11.0,0.0
564,42,GA,20,36,0.0005,28,0.5,5.274239617731249,0.007680195707939668,15.0,0.0
564,42,GA,20,36,0.001002426129051504,20,0.7036704325491865,5.596431718428349,0.010866289187132727,9.0,0.0
564,42,GA,25,34,0.0010066435592464029,20,0.7036704325491865,5.604439828287788,0.01230431621341351,6.0,0.0
564,42,GA+BO,20,36,0.0005,28,0.5,5.274239617731249,0.007680195707939668,15.0,0.0
564,42,GA+BO,20,36,0.001002426129051504,20,0.7036704325491865,5.596431718428349,0.010866289187132727,9.0,0.0
564,42,GA+BO,25,34,0.0010066435592464029,20,0.7036704325491865,5.604439828287788,0.01230431621341351,6.0,0.0
159,10,GA,20,36,0.001,20,0.5,6.8911206316678655,0.001399509999999992,13.0,0.0
159,10,GA,20,40,0.001,30,0.49901345075011094,7.859782210115052,0.008483051001321495,13.0,0.0
159,10,GA+BO,20,36,0.001,20,0.5,6.8911206316678655,0.001399509999999992,13.0,0.0
159,10,GA+BO,20,40,0.001,30,0.49901345075011094,7.859782210115052,0.008483051001321495,13.0,0.0
159,20,GA,21,36,0.0005,24,0.7000005086464487,6.988113690426756,0.0013995099999999983,12.0,0.0
159,20,GA+BO,21,36,0.0005,24,0.7000005086464487,6.988113690426756,0.0013995099999999983,12.0,0.0
159,42,GA,20,41,0.00132654774180486,30,0.5,7.129260744424836,0.0007000000000001303,14.0,0.0
159,42,GA,20,36,0.0027112462973110187,20,0.6443000171780047,7.6425169002838365,0.00459652546818356,14.0,0.0
159,42,GA+BO,20,41,0.00132654774180486,30,0.5,7.129260744424836,0.0007000000000001303,14.0,0.0
159,42,GA+BO,20,36,0.0027112462973110187,20,0.6443000171780047,7.6425169002838365,0.00459652546818356,14.0,0.0
206,10,GA,20,41,0.0012322181550099352,20,0.5,4.632685218533904,0.020913480398077243,16.0,0.0
206,10,GA,20,36,0.00048821102419770363,19,0.7,3.8373360090843125,0.014597746668201416,18.0,0.0
206,10,GA,20,36,0.0011074940214661321,15,0.496464051208079,3.106275756883769,0.01424893997840241,19.0,0.0
206,10,GA,20,36,0.00048818466080412687,19,0.7,3.0375453356446416,0.014234778607591448,18.0,0.0
206,10,GA,20,36,0.001144240972203402,30,0.6,4.719150443130538,0.02508089300652892,10.0,0.0
206,10,GA,20,36,0.0006654395005332493,38,0.7,4.522233452317139,0.014946084079767614,10.0,0.0
206,10,GA+BO,20,41,0.0012322181550099352,20,0.5,4.632685218533904,0.020913480398077243,16.0,0.0
206,10,GA+BO,20,36,0.001144240972203402,30,0.6,4.719150443130538,0.02508089300652892,10.0,0.0
206,10,GA+BO,20,36,0.0006654395005332493,38,0.7,4.522233452317139,0.014946084079767614,10.0,0.0
206,10,GA+BO,10,71,0.000484,16,0.944,4.030892413299244,0.0036021395763408213,10.0,0.0
206,20,GA,20,47,0.0015464912848210971,21,0.7,4.464315955927644,0.02508089300652898,12.0,0.0
206,20,GA,20,41,0.0010013008463916062,20,0.6907293850778607,2.7433272525675463,0.012797752123200492,14.0,0.0
206,20,GA,16,41,0.0012523218538845245,16,0.5019088301124154,3.8721323437459487,0.01814839309650775,19.0,0.0
206,20,GA,20,41,0.0010013008463916062,20,0.7091376470756782,3.7204957359634956,0.014467552981601312,15.0,0.0
206,20,GA,20,36,0.000995475800627933,20,0.6962386162049392,4.748089619551352,0.0264546655881956,12.0,0.0
206,20,GA+BO,20,47,0.0015464912848210971,21,0.7,4.464315955927644,0.02508089300652898,12.0,0.0
206,20,GA+BO,20,41,0.0010013008463916062,20,0.6907293850778607,2.7433272525675463,0.012797752123200492,14.0,0.0
206,20,GA+BO,16,41,0.0012523218538845245,16,0.5019088301124154,3.8721323437459487,0.01814839309650775,19.0,0.0
206,20,GA+BO,20,41,0.0010013008463916062,20,0.7091376470756782,3.7204957359634956,0.014467552981601312,15.0,0.0
206,20,GA+BO,20,36,0.000995475800627933,20,0.6962386162049392,4.748089619551352,0.0264546655881956,12.0,0.0
206,42,GA,20,36,0.001,29,0.6847477531570251,2.2789024879041127,0.012797752123200343,7.0,0.0
206,42,GA,20,36,0.0009891058729909496,31,0.7,5.332973756156017,0.013086357469743837,9.0,0.0
206,42,GA+BO,20,36,0.0009891058729909496,31,0.7,5.332973756156017,0.013086357469743837,9.0,0.0
206,42,GA+BO,10,71,0.000484,16,0.944,4.262631930933826,0.0006999999999999829,4.0,0.0
347,10,GA,20,43,0.0011994943576916044,30,0.7447434230707403,5.663516039373011,0.0054931230680711415,14.0,0.0
347,10,GA,20,34,0.0007877404534127658,34,0.6853651621919905,6.888039591442766,0.008173123049419077,13.0,0.0
347,10,GA,20,45,0.0011994943576916044,30,0.812278792175482,4.969864453434785,0.004761816279313987,10.0,0.0
347,10,GA+BO,20,43,0.0011994943576916044,30,0.7447434230707403,5.663516039373011,0.0054931230680711415,14.0,0.0
347,10,GA+BO,20,34,0.0007877404534127658,34,0.6853651621919905,6.888039591442766,0.008173123049419077,13.0,0.0
347,10,GA+BO,10,66,0.003725,28,0.911,5.029998887083161,0.0007000000000001846,8.0,0.0
347,20,GA,20,36,0.001,20,0.6814611497191368,6.495241424446791,0.009999180069285853,14.0,0.0
347,20,GA,23,36,0.0009988331988081468,20,0.5366520438948496,5.935072806775221,0.0038565201901476285,14.0,0.0
347,20,GA+BO,20,36,0.001,20,0.6814611497191368,6.495241424446791,0.009999180069285853,14.0,0.0
347,20,GA+BO,23,36,0.0009988331988081468,20,0.5366520438948496,5.935072806775221,0.0038565201901476285,14.0,0.0
347,20,GA+BO,10,66,0.003725,28,0.911,4.224182429095324,0.0006999999999999857,6.0,0.0
347,42,GA,20,36,0.00035354798196927744,18,0.5,5.574808420251952,0.008420497289608187,8.0,0.0
347,42,GA,21,38,0.0019986005737742327,20,0.706579337714413,4.72261908030079,0.0038565201901477396,16.0,0.0
347,42,GA+BO,10,119,0.001737,14,0.872,5.654435816753201,0.0007000000000000066,,
