stage,fold_id,gen,p,q,rmse,is_best_gen
GA,35,2,3,4,0.0166557437435539,False
GA,35,2,3,4,0.0166557437435539,False
GA,35,2,3,4,0.0166557437435539,False
GA,35,2,3,1,0.0166648299115127,False
GA,35,2,3,1,0.0166648299115127,False
GA,35,2,3,1,0.0166648299115127,False
GA,35,2,2,4,0.0166655909330578,False
GA,35,2,2,4,0.0166655909330578,False
GA,35,2,2,4,0.0166655909330578,False
GA,35,2,2,4,0.0166655909330578,False
GA,35,2,2,4,0.0166655909330578,False
GA,35,2,2,4,0.0166655909330578,False
GA,35,2,2,4,0.0166655909330578,False
GA,35,2,2,4,0.0166655909330578,False
GA,35,2,2,4,0.0166655909330578,False
GA,35,2,1,4,0.0166708444888802,False
GA,35,2,2,2,0.0166712967926086,False
GA,35,2,2,2,0.0166712967926086,False
GA,35,2,4,1,0.0166827968399921,False
GA,35,2,4,1,0.0166827968399921,False
GA,35,2,4,1,0.0166827968399921,False
GA,35,2,4,1,0.0166827968399921,False
GA,35,2,1,3,0.0166832123251119,False
GA,35,3,5,4,0.0165432452564336,True
GA,35,3,4,5,0.0165721028248721,False
GA,35,3,4,5,0.0165721028248721,False
GA,35,3,4,5,0.0165721028248721,False
GA,35,3,4,5,0.0165721028248721,False
GA,35,3,4,5,0.0165721028248721,False
GA,35,3,4,5,0.0165721028248721,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,6,5,0.016581179768642,False
GA,35,3,5,5,0.0165870753847326,False
GA,35,3,5,5,0.0165870753847326,False
GA,35,3,5,5,0.0165870753847326,False
GA,35,3,5,5,0.0165870753847326,False
GA,35,3,5,5,0.0165870753847326,False
GA,35,3,5,5,0.0165870753847326,False
GA,35,3,6,4,0.0166186801429329,False
GA,35,3,6,4,0.0166186801429329,False
GA,35,3,6,4,0.0166186801429329,False
GA,35,3,3,2,0.0166344841203351,False
GA,35,3,3,2,0.0166344841203351,False
GA,35,3,3,2,0.0166344841203351,False
GA,35,3,3,2,0.0166344841203351,False
GA,35,3,3,5,0.0166375956633177,False
GA,35,3,3,5,0.0166375956633177,False
GA,35,3,3,5,0.0166375956633177,False
GA,35,3,3,5,0.0166375956633177,False
GA,35,3,3,5,0.0166375956633177,False
GA,35,3,3,5,0.0166375956633177,False
GA,35,3,3,5,0.0166375956633177,False
GA,35,4,5,4,0.0165432452564336,True
GA,35,4,5,4,0.0165432452564336,True
GA,35,4,5,4,0.0165432452564336,True
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,4,5,0.0165721028248721,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,4,6,5,0.016581179768642,False
GA,35,5,5,4,0.0165432452564336,True
GA,35,5,5,4,0.0165432452564336,True
GA,35,5,5,4,0.0165432452564336,True
