fold_id,retrain_interval,front_type,p,q,threshold,sharpe,mdd
35,42,RS,7,4,0.19906838248243852,4.550851426673,0.005770096450254906
35,42,RS,2,4,0.4935215034117619,3.973054214687701,0.0017489394486905289
35,42,RS,5,2,0.4949096252553988,1.8984623179231621,0.0012816229731207973
35,42,RS,5,4,0.5877535113562086,4.215341254844609,0.0023910457647883273
634,10,RS,3,5,0.578976534914936,2.9356927916360056,0.011958094515973476
634,10,RS,4,2,0.4174817731320406,4.688255217582433,0.019503314955732712
634,10,RS,1,2,0.5215333045053926,2.4527899096018206,0.009499041625749062
634,10,RS,5,2,0.5597588255362601,4.423317058793317,0.01209329747400166
634,20,RS,5,5,0.3665413092413635,5.118375194809413,0.02932750431379931
634,20,RS,5,5,0.3195538305717073,5.1493086472984,0.03185119396298596
634,20,RS,5,5,0.5310448604011948,4.984443151988409,0.021795310642537213
634,20,RS,5,5,0.46657135917821035,4.987134118450581,0.02478850409595833
634,20,RS,6,1,0.5366965864392482,1.8617582167006943,0.015322927145727814
634,20,RS,4,2,0.5847246751985435,4.23599593014995,0.015849682681039215
634,42,RS,3,6,0.5039489141091824,2.4857821401269717,0.011560188977345854
444,10,RS,2,1,0.45723243905868105,2.7194998908651233,0.0033538280591154344
444,10,RS,1,3,0.5033083129091942,2.1126316347937353,0.0030620919853015407
444,20,RS,7,5,0.06376755280156575,2.6331663480534817,0.020463960660530793
444,20,RS,1,7,0.21347082384392568,2.503572711111296,0.015694886301566274
444,20,RS,3,2,0.31791342077187357,2.087521512207994,0.0057522025758387045
444,20,RS,6,2,0.22952626279445495,2.3743751129686927,0.011330724377272514
444,20,RS,2,5,0.5943608855659401,2.088055696052322,0.005760139668062449
444,20,RS,1,5,0.5879767918633299,2.156552786349569,0.005908198624210272
444,20,RS,6,1,0.27738324167894896,2.3177534752940345,0.009624304525986761
444,42,RS,7,5,0.5333530219950261,2.497402685011374,0.0028458642839110453
444,42,RS,7,6,0.546084485783857,2.290441986396419,0.0022560328973543183
444,42,RS,7,5,0.02975530570828928,2.528525289737461,0.02408507270352241
444,42,RS,7,5,0.02843217760448339,2.5463755790632763,0.02519455723243461
444,42,RS,7,5,0.27604560091643676,2.4982649030150696,0.005481016834905638
444,42,RS,7,5,0.24845117601183286,2.50133766150819,0.0060120242022759585
206,10,RS,3,1,0.5388082094579282,-0.06624713369784252,0.006176560125642226
206,10,RS,4,1,0.5067915264313139,0.06081475751214288,0.006216233669340063
206,10,RS,4,4,0.3161689567928632,4.62929787809203,0.007041893971489883
206,20,RS,4,3,0.5107145254169243,4.488925644508202,0.0008171691834990073
206,20,RS,6,3,0.4405931634276443,6.251794982178224,0.0012542677150770998
206,42,RS,4,3,0.355332843705459,3.999609465289241,0.0009339594144006197
226,10,RS,2,2,0.432832568574072,3.8419644176417953,0.004166528123912319
226,20,RS,1,3,0.5385830756057716,6.072340958317494,0.0014755424306153642
226,20,RS,1,2,0.5376306689936381,5.979165624011046,0.0014530645770252047
226,42,RS,1,3,0.5535259966038376,7.620894323018897,0.000658925142839126
226,42,RS,1,2,0.5715811447315066,7.1795940133730864,0.0006497532556446553
113,10,RS,2,2,0.5832299136957532,-1.2065449595804443,0.01672200788623417
113,10,RS,7,3,0.12451999848577885,-0.4803062267872784,0.09732842856221208
113,20,RS,2,2,0.5728471275375796,-2.285125097539419,0.025986546421961108
113,20,RS,1,1,0.5815037792925635,-5.270291197450252,0.018944016480775764
113,20,RS,3,1,0.5597761492460407,-5.011799262565772,0.022825950712792947
113,20,RS,3,3,0.4451640351217452,-4.710718632662294,0.02349001231796621
113,42,RS,2,2,0.4934457092092538,-1.9271985312828317,0.026727312056690728
113,42,RS,1,1,0.5955506387672581,-5.016304026261003,0.012559359433777473
113,42,RS,3,1,0.4558609405603089,-4.551037564748078,0.020134004886203746
584,10,RS,5,7,0.41526997075605454,-1.9435008602994892,0.18952393472586665
584,10,RS,5,7,0.5518700028310337,-1.9781731639034934,0.14708965910609445
584,10,RS,6,7,0.22148883080521145,-1.0367651937738183,0.28445346435137686
584,10,RS,5,7,0.25928507105161835,-1.9280944063386043,0.27188197479495363
584,10,RS,6,7,0.012328116416044753,-0.17206588726376748,0.3350072800941866
584,10,RS,1,2,0.5944686162874121,-4.653935763950415,0.07773474279695387
584,20,RS,6,6,0.574991272293828,-1.5151906172275214,0.05646595110857078
584,20,RS,6,7,0.525088239191338,0.8173544664614528,0.0857912950735296
584,20,RS,7,4,0.5244740195970924,0.59159309240791,0.06084125172291653
584,42,RS,7,7,0.5996987485338057,-0.5129163625281625,0.058362087911053656
584,42,RS,6,7,0.5364606746567971,-0.3048318376806038,0.06395330247333965
584,42,RS,7,4,0.5803751690565248,-2.142877925586501,0.05153014722162689
