fold_id,retrain_interval,source,p,q,threshold,val_sharpe_front,val_mdd_front,test_sharpe,test_mdd,test_ann_return,test_ann_vol,test_turnover,test_n_points
347,10,GA+BO_knee,4,1,0.5999999807303626,1.9654252581020513,0.0103392170951293,1.3935121589315866,0.08042809190455842,0.09741591408090043,0.06990675571542179,111.07553244908173,1519
347,10,GA_knee,4,1,0.5999999807303626,1.9654252581020513,0.0103392170951293,1.3935121589315866,0.08042809190455842,0.09741591408090043,0.06990675571542179,111.07553244908173,1519
444,10,GA+BO_knee,2,1,0.0656622170090816,3.0226414021784147,0.0180030037308291,2.006266335343854,0.3673990797076817,0.8380971923326264,0.4177397474941855,210.88797621861232,1519
444,10,GA_knee,1,1,0.5999999475743757,2.614802820643862,0.002535959329716,1.7645645943671502,0.06310342824293802,0.11453278065442835,0.06490710570757247,44.59509229977971,1519
584,10,GA+BO_knee,5,7,0.5998744775900249,-2.007260063940518,0.1369895599573479,1.1745156154267609,0.15273802834684186,0.17603640717235025,0.1498800057318841,501.82336179127583,1519
584,10,GA_knee,5,7,0.5998744775900249,-2.007260063940518,0.1369895599573479,1.1745156154267609,0.15273802834684186,0.17603640717235025,0.1498800057318841,501.82336179127583,1519
634,10,GA+BO_knee,5,2,0.5999983097622883,4.423317058793315,0.0112822484476758,1.4446388394796275,0.08991748044882031,0.10561216037812539,0.07310627230274931,137.2815970233853,1519
634,10,GA_knee,5,2,0.5999983097622883,4.423317058793315,0.0112822484476758,1.4446388394796275,0.08991748044882031,0.10561216037812539,0.07310627230274931,137.2815970233853,1519
35,20,GA+BO_knee,4,3,0.5999569251860853,3.62281875954108,0.0045659978868562,1.6906802055388528,0.06832783772473401,0.1104386749248073,0.06532203699019966,74.42991842325448,1519
35,20,GA_knee,4,3,0.5999569251860853,3.62281875954108,0.0045659978868562,1.6906802055388528,0.06832783772473401,0.1104386749248073,0.06532203699019966,74.42991842325448,1519
80,20,GA+BO_knee,5,2,0.5999725546194996,3.278865694638616,0.0029020638475104,1.6808490999984025,0.07487622454442727,0.11044042372651176,0.06570513898399133,79.75879180040246,1519
80,20,GA_knee,5,2,0.5999725546194996,3.278865694638616,0.0029020638475104,1.6808490999984025,0.07487622454442727,0.11044042372651176,0.06570513898399133,79.75879180040246,1519
113,20,GA+BO_knee,2,2,0.5988844703823973,-2.285125097539419,0.0248666193768307,1.482687330295451,0.07276067078304972,0.10141611658958846,0.06840020449178558,119.65093093360485,1519
113,20,GA_knee,2,2,0.5987957596743962,-2.2851250975394186,0.0248702711364931,1.4826873302954509,0.07277112385931382,0.10143114123732486,0.06841033788095631,119.66865704212735,1519
206,20,GA+BO_knee,6,3,0.5999994653541059,6.251794982178222,0.0009211234730366,1.4184291306659425,0.09627951186550444,0.11265693326562297,0.07942373068207599,150.35574321181574,1519
206,20,GA_knee,6,3,0.5999994653541059,6.251794982178222,0.0009211234730366,1.4184291306659425,0.09627951186550444,0.11265693326562297,0.07942373068207599,150.35574321181574,1519
226,20,GA+BO_knee,3,1,0.5999991474396146,6.299138267232451,0.0013230373062615,1.7816709047787564,0.0660072321513256,0.109828119297639,0.06164332537679129,34.16034938146726,1519
226,20,GA_knee,1,1,0.5999999777375713,6.180676830663109,0.0013209647348957,1.7841143036579556,0.06630850999339094,0.10596518047791263,0.05939371724146433,23.917212595778516,1519
259,20,GA+BO_knee,2,1,0.1749482164700646,0.5606648143545018,0.0121427827535589,1.7487089279506542,0.21173640398933688,0.36136445869993217,0.20664643093200316,107.647356377634,1519
259,20,GA_knee,2,1,0.1749482164700646,0.5606648143545018,0.0121427827535589,1.7487089279506542,0.21173640398933688,0.36136445869993217,0.20664643093200316,107.647356377634,1519
343,20,GA+BO_knee,4,3,0.599995672893777,4.720252845601739,0.0104380299500234,1.6906802055388526,0.0683235516199157,0.11043154279766731,0.06531781849452165,74.4251117407986,1519
343,20,GA_knee,4,3,0.599995672893777,4.720252845601739,0.0104380299500234,1.6906802055388526,0.0683235516199157,0.11043154279766731,0.06531781849452165,74.4251117407986,1519
347,20,GA+BO_knee,6,1,0.5999941782388035,1.5356216109141685,0.0102403950017797,1.4752647426431502,0.07314499650667514,0.10618212410794527,0.07197496221437831,107.11785205986543,1519
347,20,GA_knee,6,1,0.5999941782388035,1.5356216109141685,0.0102403950017797,1.4752647426431502,0.07314499650667514,0.10618212410794527,0.07197496221437831,107.11785205986543,1519
444,20,GA+BO_knee,6,2,0.5999985001319773,2.3743751129686927,0.0043425146221821,1.3452406462081312,0.07728525978572412,0.10180661413601744,0.07567910947605003,134.78617689133273,1519
444,20,GA_knee,6,2,0.5999985001319773,2.3743751129686927,0.0043425146221821,1.3452406462081312,0.07728525978572412,0.10180661413601744,0.07567910947605003,134.78617689133273,1519
584,20,GA+BO_knee,3,7,0.5999782131061344,-0.1995576875489961,0.0599966016451693,1.004560801937781,0.12880265311874198,0.09443080063125067,0.09400207578186931,226.15385060531563,1519
