fold_id,ticker,retrain_interval,stage,iter,window,units,learning_rate,epochs,threshold,sharpe,mdd,raw_sharpe,raw_mdd,turnover,penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,50,14,34,0.001802028,19,0.6688337401507192,9.478508066,0.0007,9.478508066,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,51,10,53,0.002378646,67,0.507463723,9.486258797386057,0.0007,9.486258797386057,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,52,39,48,0.008657796,30,0.7622474202429804,9.486258797386057,0.0007,9.486258797386057,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,53,15,59,0.003741167,38,0.5853413651793091,11.926762905637759,0,11.926762905637759,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,54,25,58,0.002924947,44,0.6679504462950773,9.727598927139931,0,9.727598927139931,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,55,40,92,0.000698247,54,0.6062318417517318,11.884010995716128,0.0007,11.884010995716128,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,56,12,50,0.007276773,46,0.930821679,4.564303671858564,0.0007,4.564303671858564,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,57,24,35,0.008652483,70,0.8646255615126013,7.169047666195454,0.0007,7.169047666195454,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,58,34,52,0.007553869,37,0.7558533422928593,9.727598927139931,0,9.727598927139931,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,59,38,79,0.004497397,58,0.9168728450384964,4.587223184820224,0.0007,4.587223184820224,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,60,36,74,0.002828272,28,0.5499139113843663,7.154559544751248,0.0007,7.154559544751248,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,61,15,47,0.008701882,51,0.8664503857465664,7.189407320237833,0.0007,7.189407320237833,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,62,23,94,0.003635481,75,0.6566813288953105,8.843534510698682,0.0007,8.843534510698682,0.0007,3,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,63,39,70,0.006675069,58,0.8351040354589746,7.154559544751248,0.0007,7.154559544751248,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,64,30,79,0.008464418,51,0.5370542559144489,11.926762905637759,0,11.926762905637759,0,1,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,NVDA,10,RS,65,22,88,0.009576886,71,0.6804714156342553,9.478508066,0.0007,9.478508066,0.0007,2,0.006777645,,,,,,,,,,,,,,,,,,,,,,,,,,,
